"study","publication_year","journal","journal_eigenfactor","sample_size","response_rate_pct","firm_size_category","firm_size_numeric","firm_age","data_year","country","continent","motivation_success","uncertainty_avoidance","industry","ac_measure","ac_items","ac_measure_type","ac_reliability","performance_measure","performance_measure_type","performance_items","performance_reliability","effect_observed","effect_corrected_excel","study_key","effect_comment","effect_source_type","manual_plus_005","effect_mean_imputed","journal_eigenfactor_imputed","response_rate_imputed","firm_size_imputed","firm_age_imputed","ac_reliability_imputed","performance_reliability_imputed","effect_corrected","continent_group","primary_analysis","no_manual_adjustment","correlation_only","reported_reliability_only","yi_observed","yi_corrected","vi"
"Alegre & Chiva 2013",2013,"Journal of Small Business Management",46,182,50,"SML",68.2085454545454,18.3647058823529,2004,"Cross-country","Europe",56,80.5,"Manufacturing","Organizational Learning Capability",14,"Reflective",0.794,"Firm Perfroamce","Reflective",2,0.93,0.3,0.349115820114746,"alegre & chiva 2013","Full mediation by OLC and innovation performance

OLC → Firm Perf: β = 0.30 Innovation Perf → Firm Perf: β = 0.55","regression_or_path",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.349115820114746,"Europe",TRUE,TRUE,FALSE,TRUE,0.309519604203112,0.364436496749596,0.00558659217877095
"Ali et al. 2020",2020,"Industrial Marketing Management",71,163,57.2,"SM",132.88,34.1,2019,"Saudi Arabia","Asia",43,64,"Mixed","Absortive Capacity",12,"Formative",0.71,"Overall performance","Reflective",3,0.78,0.39,0.524068590285607,"ali et al. 2020","Significant positive association between ACAP and performance

β = 0.39, p < 0.001","regression_or_path",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.524068590285607,"Asia",TRUE,TRUE,FALSE,TRUE,0.41180003447869,0.58193249768658,0.00625
"Alshahrani  Salam. 2022",2022,"Journal of Research in Marketing and Entrepreneurship",54.6086956521739,366,33.4923666666667,"SM",68.2085454545454,7.6,2022,"Saudi Arabia","Asia",43,64,"Mixed","Absorptive capacity",7,"Reflective",0.79,"Firm's performance","Reflective",11,0.93,0.578,0.674330523628672,"alshahrani  salam. 2022","AC fully mediates EO → FP relationship; significant positive effect","regression_or_path",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.674330523628672,"Asia",TRUE,TRUE,FALSE,TRUE,0.659454093684904,0.818642843045986,0.00275482093663912
"Altinay et al. 2016",2016,"Journal of Small Business Management",46,350,87.5,"S",10.7,10,2011,"Cyprus","Europe",48.2567567567568,64.6621621621622,"Services","organizational learning capability",13,"Reflective",0.88,"Growth","Formative",3,0.7,0.053,0.0675282528654854,"altinay et al. 2016","Calculate dby the mean of the correlations of the three underlying criteria for Growth with OLC","correlation_or_mean_of_correlations",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0675282528654854,"Europe",TRUE,TRUE,TRUE,TRUE,0.0530497094739486,0.067631179028588,0.00288184438040346
"Armario et al. 2008",2008,"Journal of Small Business Management",46,112,7.5,"SM",68.2085454545454,18.3647058823529,2003,"Spain","Europe",42,86,"Manufacturing","knowledge acquisition",5,"Reflective",0.92,"Foreign-Market Performance","Reflective",5,0.765,0.74,0.882078199150987,"armario et al. 2008","","unclear",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.882078199150987,"Europe",TRUE,TRUE,FALSE,TRUE,0.950479380596523,1.38505508513071,0.00917431192660551
"Chen et al. 2009",2009,"Industrial Marketing Management",71,106,21.2,"SM",68.2085454545454,18.3647058823529,2006,"Taiwan","Asia",45,69,"Manufacturing","Absorptive capacity",3,"Reflective",0.798,"Corporate competitive advantage","Reflective",4,0.814,0.51,0.632785513172247,"chen et al. 2009","ß = 0.54, Corr = 0.596 (p < 0.01)","regression_or_path",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.632785513172247,"Asia",TRUE,TRUE,FALSE,TRUE,0.562729769352149,0.746048314479686,0.00970873786407767
"DeNoni & Apa. 2015",2015,"Journal of International Entrepreneurship",54.6086956521739,311,33.4923666666667,"S",14.2,19.63,2007,"Italy","Europe",70,75,"Mixed","Learning Orientation",2,"Formative",0.77,"Business Performance","Formative",1,0.853727272727273,0.385,0.474849285899251,"denoni & apa. 2015","Calculated by the mean of the correlation of tPerf measure with the two constrcuts of LO.","correlation_or_mean_of_correlations",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0.474849285899251,"Europe",TRUE,TRUE,TRUE,FALSE,0.405916575407461,0.516312894315342,0.00324675324675325
"Ding et al. 2023",2023,"Management Decision",61,189,18.9,"SM",222.968,13.534,2022,"China","Asia",66,30,"Services","Absorptive capacity",6,"Reflective",0.863,"SME survival performance","Reflective",4,0.881,0.595,0.682375795592423,"ding et al. 2023","","unclear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.682375795592423,"Asia",TRUE,TRUE,FALSE,TRUE,0.685370974056203,0.83354665031586,0.00537634408602151
"Ferraris et al. 2019",2019,"Management Decision",61,88,55.3,"SM",155,18.3647058823529,2017,"Italy","Europe",70,75,"Mixed","Knowledge Acquisition",6,"Reflective",0.89,"Business Performance","Reflective",4,0.81,0.352,0.41457694862471,"ferraris et al. 2019","","unclear",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.41457694862471,"Europe",TRUE,TRUE,FALSE,TRUE,0.367724780125317,0.441125519259882,0.0117647058823529
"Ferreras-Méndez et al. 2019",2019,"Management International Review",38,222,88.8,"SM",52.7,18.3647058823529,2012,"Spain","Europe",42,86,"Manufacturing","Absorptive capacity",3,"Reflective",0.86,"Export Performance","Reflective",3,0.87,0.23,0.265900395980773,"ferreras-méndez et al. 2019","Direct correlation provided","correlation_or_mean_of_correlations",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.265900395980773,"Europe",TRUE,TRUE,TRUE,TRUE,0.234189466759367,0.272447101870863,0.0045662100456621
