"study","standardized_residual","dffits","cook_distance","covariance_ratio","hat","influential"
"Alegre & Chiva 2013",-0.367736192171909,-0.0610979462761131,0.00382147916426876,1.05139121871746,0.0261059558952739,FALSE
"Ali et al. 2020",0.0173301614044605,0.00182765510194415,0.00000343141008297632,1.05507782350734,0.0258636340184829,FALSE
"Alshahrani  Salam. 2022",0.981365068815822,0.164048737469441,0.0269394494773643,1.02898004983354,0.0271934970965602,FALSE
"Altinay et al. 2016",-1.39430589640518,-0.232078867353451,0.0524796871783138,1.00233950781994,0.0271427762956909,FALSE
"Armario et al. 2008",2.10538007055148,0.337850872242828,0.104969835948488,0.938278676292005,0.024846987734001,FALSE
"Chen et al. 2009",0.570909801131537,0.0902568631944473,0.00828851598673304,1.04435225343961,0.0246697691551819,FALSE
"DeNoni & Apa. 2015",-0.00479216066258189,-0.0018365593820675,0.00000346900747825301,1.05628280149975,0.0269981141167442,FALSE
"Ding et al. 2023",1.06377279164073,0.174574805214992,0.0303690704238781,1.02324620964475,0.026183703250726,FALSE
"Ferraris et al. 2019",-0.142212088294872,-0.023268557695091,0.000554956306200073,1.0525341041615,0.024010938990723,FALSE
"Ferreras-Méndez et al. 2019",-0.658872375374109,-0.109262136429326,0.0121246406665969,1.04316470697564,0.0264876618716449,FALSE
"Flatten et al. 2011",0.652231497861027,0.108263447609547,0.0119114005074675,1.04408754541412,0.0271259945455221,FALSE
"Hernández-Linares et al. 2021",0.438117687787257,0.0727602841179899,0.00541764500301691,1.05122182727083,0.0275085581166616,FALSE
"Hooi & Ngui. 2014",0.136132091144962,0.0216008280181449,0.000479574069236129,1.05562155658362,0.0268854885192406,FALSE
"Hooi 2020",-0.349049248247043,-0.0583989187005558,0.00349358210529721,1.05211486597108,0.0264221141658293,FALSE
"Hughes et al. 2017",0.330885998236035,0.0520046655497379,0.0027675452420422,1.05078085808409,0.0248186487344025,FALSE
"Ibarra-Cisneros & Perlines 2020",0.395720252789466,0.063701120660276,0.00415088722817792,1.05054320700589,0.0258915868691172,FALSE
"Jun et al. 2021",-0.652130403325321,-0.108386285821383,0.0119347533036186,1.04353553358743,0.026599226573692,FALSE
"Kang et al. 2022",0.908948698041685,0.151565004906324,0.0230834163899378,1.03272391533239,0.0271191496062399,FALSE
"Karami & Tang. 2019",0.689320883572075,0.111859518164675,0.0126894858872021,1.04134682916423,0.0258776897055327,FALSE
"Mata et al. 2024",1.2405132344632,0.207115268616417,0.0422661239142415,1.01295020331933,0.0269507801196949,FALSE
"Navarro et al. 2015",0.0565302285685971,0.00813560265172895,0.0000679470794322749,1.05433964088833,0.025245483583059,FALSE
"Ortiz et al. 2023",-0.542304799883613,-0.0918650593731396,0.00861084829671311,1.04825389923681,0.0274972135899436,FALSE
"Park & Rhee. 2012",-1.64864352674285,-0.272027828206441,0.070658248596761,0.981961070499249,0.0268083730845501,FALSE
"Pucci et al. 2017",-1.41181463377083,-0.23576963575192,0.0540798268105844,1.00122725873919,0.0273155939088169,FALSE
"Raisal et al. 2020",0.342100266023593,0.0555551909720556,0.00316232432951582,1.05235674809734,0.0265187855672589,FALSE
"Raymond et al. 2015",0.251783880208839,0.0413874451310664,0.00175964142103156,1.05508068682861,0.0276182482476034,FALSE
"Raymond et al. 2016",-1.37841417428916,-0.231618297144603,0.0523097798645664,1.00400844809943,0.0276182482476034,FALSE
"Rhee et al. 2010",-2.4648594080615,-0.407096290084711,0.145166747420357,0.903911932745877,0.0270837356320484,FALSE
"Rua et al. 2018",0.191114540186106,0.030635700950768,0.000963945609160888,1.05486369708755,0.0266664330527244,FALSE
"Shah et al. 2023",-0.376832379952598,-0.0627109208486014,0.00402555171221184,1.05130958652767,0.0262153928565693,FALSE
"Sok et al. 2013",3.74457217478595,0.623682227927016,0.289171330000964,0.759213218984833,0.0259717861235939,TRUE
"Stoian et al. 2017",-0.0225811097787995,-0.004765760848093,0.0000233513916533811,1.05594573821887,0.0266918864391417,FALSE
"Sujoko et al. 2022",-0.0705766385640111,-0.0125803413252092,0.000162611739579906,1.05527851924357,0.026183703250726,FALSE
"Tzokas et al. 2015",0.332105732629356,0.053844842420582,0.0029710155734866,1.05249493233445,0.0264636127601425,FALSE
"Wahyuni et al. 2019",-0.906191600536044,-0.139497577290789,0.0195426721958126,1.02859500525976,0.0230640346796182,FALSE
"WALES et al. 2013",-0.275597856186671,-0.0467418906315984,0.00224192307783867,1.05393662077898,0.0268805895572666,FALSE
"Wu et al. 2020",-0.746847477181362,-0.123435219243098,0.0154209052468447,1.03953912351461,0.026396323096121,FALSE
"Yoo et al. 2020",-0.561168898074917,-0.0907206481808496,0.00837818223120605,1.04508086025915,0.0250582809422513,FALSE
