"study_removed","estimate_r","ci_lower_r","ci_upper_r","q","q_p","i2_pct"
"Alegre & Chiva 2013",0.388286734378482,0.309895038526614,0.46143484142161,638.797302040526,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000215374952301977,94.4444978806372
"Ali et al. 2020",0.385961007695486,0.307278224327551,0.459402394174805,639.476629888,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000156135818033166,94.4740438505666
"Alshahrani  Salam. 2022",0.380011130800709,0.301963189964293,0.452998833284907,609.838501750566,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000190612549035657,94.2067874907857
"Altinay et al. 2016",0.394372996421271,0.318274009882836,0.46542200083557,601.587863398944,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000936560715620706,94.0608488011682
"Armario et al. 2008",0.374119141121262,0.299340894192469,0.444329649255725,603.563296952573,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000368718844310679,93.8532842024107
"Chen et al. 2009",0.382694895566811,0.304217785983752,0.456012503854097,636.1172657907,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000765984019615621,94.4516335792907
"DeNoni & Apa. 2015",0.38609684028962,0.307376495261772,0.459568622893067,639.416404347366,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000160652420789262,94.3963215128067
"Ding et al. 2023",0.379638492697929,0.301791563962873,0.452456548597955,621.773531150321,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006777976001061,94.2838692475122
"Ferraris et al. 2019",0.386889759758243,0.30836428977951,0.460178225855927,639.649941459505,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000143834321718267,94.503882640191
"Ferreras-Méndez et al. 2019",0.390047498040841,0.312085754880559,0.462791297864118,635.007323790874,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000129535701831394,94.377163121492
"Flatten et al. 2011",0.382030968283914,0.303522217258764,0.455387426888822,625.750078648089,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103398164593627,94.3073034059458
"Hernández-Linares et al. 2021",0.383334184244962,0.304632244001357,0.456837114476815,628.87474450058,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235858898748773,94.2542621385674
"Hooi & Ngui. 2014",0.385227730039824,0.306477106246095,0.458740775763392,638.443939622931,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000254598073499539,94.4066519011254
"Hooi 2020",0.388187787491458,0.309761921839313,0.461367335898051,638.796445774212,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000215462287442627,94.4298145316934
"Hughes et al. 2017",0.384103528271951,0.305467469730507,0.457535898405714,638.111854000177,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000297946272954852,94.4813201494141
"Ibarra-Cisneros & Perlines 2020",0.383670508146951,0.305016085668196,0.457126266357038,636.68480329678,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000058552157974296,94.4484791754328
